customer_id,event_day,store_id,store,project_category,area_id,gender,age,age_category,event_type,product_id,product_name,company,time_duration,num_touch,in_time,out_time,buy_flag
20201101-010002,2020/11/1,10,レインボーマーケット新日本,飲料,,man,Over70's,Senior,1,,,,21.2,0.0,08:02:09.200,08:02:30.400,0
20201101-010003,2020/11/1,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,28.6,0.0,08:04:44.800,08:05:13.400,0
20201101-010006,2020/11/1,10,レインボーマーケット新日本,飲料,,man,20's,Young,1,,,,10.0,0.0,08:08:27.600,08:08:37.600,0
20201101-010007,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,20's,Young,1,,,,28.6,0.0,08:09:08.800,08:09:37.400,0
20201101-010008,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,50's,Middle,1,,,,98.4,0.0,08:12:04.600,08:13:43.000,0
20201101-010009,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,22.2,0.0,08:14:08.000,08:14:30.200,0
20201101-010011,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,12.2,0.0,08:19:01.800,08:19:14.000,0
20201101-010012,2020/11/1,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,34.8,0.0,08:20:21.000,08:20:55.800,0
20201101-010013,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,60's,Senior,1,,,,17.2,0.0,08:21:00.400,08:21:17.600,0
20201101-010014,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,27.0,0.0,08:22:44.800,08:23:11.800,0
20201101-010015,2020/11/1,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,21.2,0.0,08:29:31.400,08:29:52.600,0
20201101-010016,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,11.2,0.0,08:34:10.200,08:34:21.400,0
20201101-010017,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,20's,Young,1,,,,20.4,0.0,08:35:06.800,08:35:27.200,0
20201101-010018,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,18.8,0.0,08:35:13.200,08:35:32.000,0
20201101-010020,2020/11/1,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,7.8,0.0,08:43:10.200,08:43:18.000,0
20201101-010023,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,58.0,0.0,08:46:09.400,08:47:07.400,0
20201101-010024,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,20's,Young,1,,,,32.8,0.0,08:47:53.400,08:48:26.200,0
20201101-010025,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,30.4,0.0,08:50:46.000,08:51:16.400,0
20201101-010026,2020/11/1,10,レインボーマーケット新日本,飲料,,man,Over70's,Senior,1,,,,25.2,0.0,08:51:14.600,08:51:39.800,0
20201101-010027,2020/11/1,10,レインボーマーケット新日本,飲料,,man,0's,Child,1,,,,19.0,0.0,08:53:03.800,08:53:22.800,0
20201101-010028,2020/11/1,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,9.4,0.0,08:53:05.600,08:53:15.000,0
20201101-010029,2020/11/1,10,レインボーマーケット新日本,飲料,,man,0's,Child,1,,,,13.0,0.0,08:53:07.600,08:53:20.600,0
20201101-010030,2020/11/1,10,レインボーマーケット新日本,飲料,,man,0's,Child,1,,,,12.2,0.0,08:53:08.200,08:53:20.400,0
20201101-010031,2020/11/1,10,レインボーマーケット新日本,飲料,,man,0's,Child,1,,,,31.4,0.0,08:53:24.600,08:53:56.000,0
20201101-010032,2020/11/1,10,レインボーマーケット新日本,飲料,,man,0's,Child,1,,,,32.4,0.0,08:53:25.000,08:53:57.400,0
20201101-010033,2020/11/1,10,レインボーマーケット新日本,飲料,,man,0's,Child,1,,,,31.6,0.0,08:53:25.600,08:53:57.200,0
20201101-010034,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,26.8,0.0,08:53:27.800,08:53:54.600,0
20201101-010035,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,22.4,0.0,08:55:07.000,08:55:29.400,0
20201101-010036,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,50's,Middle,1,,,,29.2,0.0,08:55:28.000,08:55:57.200,0
20201101-010037,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,8.8,0.0,08:56:23.600,08:56:32.400,0
20201101-010038,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,51.0,0.0,08:56:24.600,08:57:15.600,0
20201101-010039,2020/11/1,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,47.8,0.0,08:56:28.200,08:57:16.000,0
20201101-010040,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,50's,Middle,1,,,,166.0,0.0,08:59:26.600,09:02:12.600,0
20201101-010041,2020/11/1,10,レインボーマーケット新日本,飲料,,man,Over70's,Senior,1,,,,7.4,0.0,09:00:56.200,09:01:03.600,0
20201101-010042,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,16.6,0.0,09:01:10.400,09:01:27.000,0
20201101-010043,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,21.0,0.0,09:01:27.600,09:01:48.600,0
20201101-010044,2020/11/1,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,20.4,0.0,09:01:30.600,09:01:51.000,0
20201101-010045,2020/11/1,10,レインボーマーケット新日本,飲料,,man,20's,Young,1,,,,15.8,0.0,09:03:26.600,09:03:42.400,0
20201101-010046,2020/11/1,10,レインボーマーケット新日本,飲料,,man,20's,Young,1,,,,19.6,0.0,09:03:53.400,09:04:13.000,0
20201101-010047,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,20.2,0.0,09:04:45.000,09:05:05.200,0
20201101-010048,2020/11/1,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,53.6,0.0,09:04:49.200,09:05:42.800,0
20201101-010049,2020/11/1,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,49.8,0.0,09:05:55.800,09:06:45.600,0
20201101-010050,2020/11/1,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,4.8,0.0,09:07:06.400,09:07:11.200,0
20201101-010052,2020/11/1,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,24.0,0.0,09:08:28.200,09:08:52.200,0
20201101-010053,2020/11/1,10,レインボーマーケット新日本,飲料,,man,Over70's,Senior,1,,,,197.0,0.0,09:08:54.600,09:12:11.600,0
20201101-010054,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,13.2,0.0,09:09:17.800,09:09:31.000,0
20201101-010055,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,32.4,0.0,09:10:04.000,09:10:36.400,0
20201101-010056,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,15.4,0.0,09:13:44.200,09:13:59.600,0
20201101-010057,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,60's,Senior,1,,,,41.2,0.0,09:14:47.400,09:15:28.600,0
20201101-010058,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,Over70's,Senior,1,,,,35.6,0.0,09:14:54.800,09:15:30.400,0
20201101-010059,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,50's,Middle,1,,,,9.8,0.0,09:15:35.400,09:15:45.200,0
20201101-010060,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,32.6,0.0,09:15:36.800,09:16:09.400,0
20201101-010061,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,Over70's,Senior,1,,,,23.0,0.0,09:15:40.000,09:16:03.000,0
20201101-010063,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,50's,Middle,1,,,,50.8,0.0,09:17:42.600,09:18:33.400,0
20201101-010064,2020/11/1,10,レインボーマーケット新日本,飲料,,man,Over70's,Senior,1,,,,37.8,0.0,09:18:44.800,09:19:22.600,0
20201101-010065,2020/11/1,10,レインボーマーケット新日本,飲料,,woman,50's,Middle,1,,,,18.0,0.0,09:19:01.800,09:19:19.800,0
20201101-010066,2020/11/1,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,5.0,0.0,09:19:35.600,09:19:40.600,0
